"Message to administrator","Message to administrator"
"Please, write your question", "Please, write your question"
"Close", "Close"
"Save", "Save"
"Message", "Message"
"Your message", "Your message"
"You haven't secure connection. Please, reload page.", "You haven't secure connection. Please, reload page."
"You don't ask your question.", "You don't ask your question."
"You aren't using ajax connection.", "You aren't using ajax connection."
"You have wrong form. Please, reload page.", "You have wrong form. Please, reload page."
"Unable to connect to the store support team.", "Unable to connect to the store support team."
"", ""
"", ""
"", ""

